|job_title|job_description|stars|salary_range
0|Senior Data Scientist or Data Scientist|"Senior Data Scientist or Data Scientist #88345
JOB SUMMARY: Puget Sound Energys Strategic Customer Insights Group is looking for a Data Scientist to join our team. This role works in a team that is designed to attain the companys strategic goals via the extensive use of data and analysis to drive decisions and actions. The ideal candidate will be responsible for the continuous improvement of PSEs competitiveness as an energy partner in the northwest through an analytical focus on customer experience.

At the discretion of the hiring team, this position may be filled as a senior data scientist or data scientist depending on the qualifications of the selected candidate.

Families and businesses depend on PSE to provide the energy they need to pursue their dreams. Our steadfast commitment to serving Washington communities with safe, dependable and efficient energy started in 1886. Today were building the Northwests energy future through efforts like our award winning energy efficiency programs and our leadership in renewable energy.

At PSE all employees are valued, respected and provided with the opportunity to excel professionally. We offer an expansive pay package that includes competitive compensation, annual goals-based incentive bonuses, comprehensive cafeteria-style benefits, 401(K), a company paid retirement pension plan, and an employee assistance and wellness program.
JOB REQUIREMENT:
JOB RESPONSIBILTY: • Perform deep data analysis to identify opportunities to improve customer experience
Acquire data and conduct research to evaluate and analyze evolving priorities
Employ advanced statistical methods to support management decision-making
Perform customer survey analytics/modeling and participate in survey design
Develop regression models, classification models, customer segmentation schemas, etc. to improve customer experience and increase customer engagement
Analyze data to create performance metrics that align with company goals
Provide leadership for cross-functional projects
Effectively communicate and collaborate across groups to provide customer intelligence to the organization
Proactively research industry trends, opportunities, and risks
Analyze and report on web data
Perform other duties as assigned"|3.1 ★|$120K-$170K (Glassdoor Est.)
1|Data Scientist - Risk|"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle"|2.9 ★|$90K-$127K (Glassdoor Est.)
2|Data Scientist|"Data Scientist
AdColony is on a mission to make mobile advertising experiences more meaningful and rewarding for users, app publishers, and advertisers. Were building a company that cares deeply about the way users encounter and interact with ads to help them find new apps that theyll enjoy and to connect with brands they value. That is reflected in our company values of transparency, empowerment, one team, and doing the right thing, and were looking for more like-minded people to help us iterate, solve problems, and invent.

Statistical test, parameter estimation, probability distributions, supervised and unsupervised learning, ensemble learning, regression, clustering, regularization, Artificial neural network, If these terms are music to your ears, read on!

Your mission is to analyze data, model the data and design algorithms to help improve efficiency and relevancy on mobile advertising for our hundreds of millions of users worldwide.

If you have good understanding of statistics and machine learning algorithms, and you love to use your knowledge to solve real world problems, we want to talk to you.

Responsibilities
Design algorithms for predictive modeling and clustering.
Data-analytic responsibilities include pattern discovery, outlier detection, sample design, identification of appropriate analytic and statistical methodology, model development and documentation of process and results.
Develop working prototypes of algorithms.
Evaluate the performance of various algorithms/models/strategies based on the real world data sets.
Oversee the process of implementing algorithms and models in production.
Learn and apply new algorithms and models in this exciting field.

Qualifications
Masters degree in applied math, statistics, machine learning or computer science. Ph.D. is preferred.
Passion for solving challenging analytical problems.
Solid understanding of probability and statistics theories and machine learning algorithms.
Hands on experience in applying machine learning techniques to solve real-world problems.
Ability to quickly assess a problem both qualitatively and quantitatively.
Ability to work productively with team members, identify and resolve tough issues in a collaborative and respectful manner.
Fluency in at least one scripting language such as Python, R or Matlab.
2-3 years of professional experience is preferred.
Experience with large data set processing is preferred."|2.2 ★|$120K-$169K (Glassdoor Est.)
3|Data Scientist|"Smartsheet is looking for an experienced Data Scientist to help drive analyses, generate insights, and influence decision making. With thousands of subscribing organizations and millions of users there is lots of opportunity to make meaningful impact and drive growth through analytics within Smartsheet. The ideal candidate is intellectually curious, has strong analytical skills and has the ability to communicate key insights effectively. This individual will work closely with departments across the company and will be a part of a highly efficient and results oriented Business Intelligence team. This full time position reports to the Data Science Manager and is based in Smartsheet's corporate offices in Bellevue, WA.

Responsibilities:
Mine large datasets and draw actionable insights
Present discoveries and insights to line of business teams and give recommendations to encourage data-driven decision making
Partner with cross functional teams across Marketing, Sales, Product Management, Engineering in operationalizing the initiatives
Identify areas for further investigation
Requirements:
BA/BS in Computer Science, Mathematics, Operations Research, Physics, or other technical field. Advanced degree preferred but not required
3+ years of experience in quantitative analysis, combined with strong business judgment and an ability to present analysis in a clear and compelling manner
Proficient in implementing various statistical models and data mining tools (predictive modeling, clustering, logistic regression, multivariate regression, decision trees, neural networks)
Hands on experience in executing analysis using tools such as SQL, R, Python, Excel, Tableau and Google Analytics.
Ability to research and learn new technologies, tools, and platforms
Ability to draw conclusions from data and recommend actions
Ability to thrive in an unstructured environment, working autonomously on a strong team to find opportunity and deliver business impact
A self-starters who can, with minimal guidance, drive projects from concept through completion
Focus to make quick strikes, iterate, and produce in high volume
Smarts to pick up new concepts at light speed
Agility to quickly adjust priorities and shift direction
Flexibility to contribute to other projects as required"|4.6 ★|$108K-$155K (Glassdoor Est.)
4|Data Scientist|"Data Scientist

27-Jul-2018

Position Summary
We are seeking the experienced and passionate candidate who will be the next member of our team in Seattle, WA. Demonstrating and communicating a passion for building the data foundation, products and capabilities that drive business growth, the Expert Data Scientist will work at the forefront of technology and business via our MSP Catalyst product suites.

Catalyst is the E2E / enterprise grade, cloud-based, Big Data analytics platform that hosts all the Marketing, Sales and Pricing applications developed and commercialized by BCG. These products are critical to our growth plan, scalability, and to the success of our project teams. BCG has made multimillion-dollar investments to create Flagship products that complement our consulting offerings.

Job ID
5621BR

Company Information
The Boston Consulting Group (BCG) is a global management consulting firm and the world’s leading advisor on business strategy. We partner with clients from the private, public, and not-for-profit sectors in all regions to identify their highest value opportunities, address their most critical challenges, and transform their enterprises. BCG was founded in 1963 and is a privately owned firm with more than 14,000 employees across 85 offices in 48 countries. Integrity, respect for the individual, delivering value, and making an impact on society are just some of BCG's core values. BCG's commitment to both our clients' success and our own standards is what sets BCG apart as a world-class professional services organization. Join BCG - start your career at a company that is consistently ranked as the leader in its field, and is acknowledged as one of the best places to work.

Travel Required
Yes

Employee Type
Regular

Basic Job Requirements
The Expert Data Scientist needs…
8+ years of relevant work experience, including expertise in recommendation systems, personalization, collaborative filtering, and content-based filtering
Knowledge of Machine Learning, NLP, Graph Theory, and AI
Fluency in one or more programming languages (Python, Java, R, etc.)
The ability to deliver data science components that are part of successful commercial products
Readiness to collaborate with engineering teams to develop prototypes and software products
The ability to lead and manage a team
The ability to travel, depending on project requirements
A MS degree in Computer Science, Statistics, Applied Mathematics, or related areas preferred
Our ideal candidate also knows their way around…
Big Data and Fast Data (i.e., real time streaming)
Distributed systems (Hadoop/MapReduce, Spark, streaming data processing, cloud architecture, etc.)
SQL or other querying languages
Dashboard and visualization software (Tableau, D3, Mixpanel, Flurry, Google Analytics, etc.)
Key Competencies
Proactive problem solving, analytical skills, time management, and decision making
Ability to lead and mentor on- / offshore development teams using Agile software delivery processes
Excellent interpersonal and communication skills - able to adjust approach to effectively interact at all organizational and technical levels
Fluent written and spoken English (other languages are desirable)
Ability and willingness to give and receive honest, balanced feedback
Focus on providing excellent customer service, meeting user needs, demonstrating competence and character, and inspiring trust
Job Type
Full time

Non-discrimination Statement
The Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under federal, state or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws. In addition, as a federal government contractor, BCG maintains an affirmative action program which furthers its commitment and complies with recordkeeping and reporting requirements under certain federal civil rights laws and regulations.BCG is an E-Verify Employer. Click here for more information on E-Verify. VEVRAA Federal Contractor

Country
United States

City/Town
Seattle

Travel Percent
20

Function
Software Product Business

Job Responsibilities
Our Next Expert Data Scientist will…
Build innovative data products (including real-time services, such as personalization and commerce graphing using Big Data platforms with real-time data ingestion and processing)
Execute descriptive analyses, ranging from identifying product opportunities to understanding user behavior
Cultivate strong collaborative relationships with product, engineering, and senior stakeholders
Share technical solutions and product ideas through design review, code reviews, and tech talks
Job Title
Expert Data Scientist"|4.3 ★|$118K-$173K (Glassdoor Est.)
5|Data Scientist|"At a time when healthcare reform is on the national agenda, and U.S. healthcare expenditures have reached an all-time high, Edifecs leverages its expertise in business and process automation on behalf of its customers to solve complex data management challenges and automate manual administrative tasks, without incurring the risk, time and cost of replacing existing IT infrastructure. For 20 years, Edifecs has been at the forefront of modernizing healthcare delivery across the nation. Edifecs delivers software solutions that streamline the exchange and processing of healthcare information in real time among payers, providers and employers to help drive down administrative costs, while enabling compliance with current mandates such as HIPAA 5010 and ICD-10.

Edifecs Data Science is redefining predictive analytics in the Enterprise healthcare with its unique Machine Learning platform EASH. This Edifecs real-time healthcare intelligence engine integrated witbh the core Edifecs products including Smart Trading provides Payers and Providers with advanced analytic and ML tools, capabilities and a SaaS platform to modernize and improve the insights, decisions and value derived from their current platforms. Our goal is to provide a completely data-driven analytics platform to enrich our customers' existing apps and workloads for a more efficient and productive healthcare ecosystem. We are looking for a Senior Data Scientist to help define and disseminate our Data Science products enabling data driven decision making via advanced Machine Learning, micro-services apps and visualization.


ESSENTIAL DUTIES AND RESPONSIBILITIES
Leads development of high complexity models and training sets
Provides hands-on execution and implementation of data science models
Translates business analysis needs into well-defined data science problems, and selecting appropriate models and algorithms and
Communicates model evaluation, process, assumptions, and implications of results back to a variety of stakeholders
Recognizes and prioritizes the most important work related to data science models to achieve highest operational impact for analytics in the business
Balances tradeoffs among analytics value, model development methods and design and technologies used to implement data science models with a bias toward action
Performs collaborative work on data science problems and mentor junior data scientists
Creates shared process models to effectively articulate multiple views of the business solutions that support technical architecture for Big Data platform implementation of stabilized ML core
Manages development of quantitative models and tools
Collaborates with leaders, other LOBs, and business partners to work on projects
Develops new or revises complex models to enhance eHealth payer and Provider use cases, and various other metrics to identify potential opportunities
Assesses business implications associated with modeling assumptions, inputs, methods, technical implementation, analytic procedures and processes, and advanced data analysis
Partners with leaders to drive high performance in their lines of business
Develop deep understanding of business drivers and financial levers to provide strategic decision support
Oversees resolution of complex projects and programs
Develops and maintains up-to-date detailed project schedules and work plans
Performs analysis on complex data models requiring customized reports and data and presents recommendations

REQUIRED SKILL SET & EXPERIENCE
M.S. or Ph. D. Degree in Computer Science, Engineering, Mathematics, Applied Sciences, Statistics or job-related discipline or equivalent experience
Job-related experience, 8 years, OR Master’s Degree and job-related experience, 6 years, OR Doctorate Degree and job-related experience, 3 years
Experience in data modeling, 5 years
Experience with Python, R, Scala, SQL
Experience developing solutions with Pandas/Scikit-learn, Spark or comparable technologies
Experience data science notebooks (Jupyter, Zeppelin or other)
Experience with AWS, Azure, cloud computing technologies
Healthcare industry (Claims Payer/Provider) experience
Experience designing efficient data science workflows and database architecture for data science purposes
Experience with forecasting, Bayesian networks, and graph analytics; Strong statistics experience
Ability to develop reports, models, and simulations as needed to perform at the job level
Competency in developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, sex, religion, national origin, protected veteran status, disability status, or any other characteristic protected by law.

Edifecs will provide reasonable accommodation to individuals with disabilities who need assistance applying for a job. Please contact careers@edifecs.com for more information.

Note: To apply for this job, submit your application by clicking on the Apply Now button on this page"|4.0 ★|$119K-$170K (Glassdoor Est.)
6|Data Architect|"Yesler is looking for an expert Data Architect to join our growing B2B agency.

You will play a vital role in orchestrating the data lake implementation by building concise, comprehensive standards for the implementation and ongoing maintenance of this data lake and its immediate infrastructure ecosystem, which will enable end-to-end visibility of the customer journey, multi-touch attribution, precise KPI measurement, and on-demand analytics.

You will work together with data analytics to build a best-practice reporting framework and methodology, and they will work with a data scientist to integrate AI and machine learning models/predictive analytics.

Responsibilities
Establish standards for data lake implementation and collaborate to choose an optimal technology solution that matches targets and goals with partner needs
Ensure scalability and efficiency of data lake solution
You will work with data analysts to establish reporting best practices
Provide long-term recommendations for ongoing data lake maintenance
Provide robust integration functionality to ingest and enrich data—both first- and third-party—from a variety of sources into data lake/customer data platform
Provide first-class integration with visualization layer of choice
Establish thorough documentation on programmatic methods of interaction with the data infrastructure—APIs, etc.
Provide a robust back-end interface for infrastructure maintenance and administration
Customer data platform development with data enrichment services, for first- and third-party data
Requirements
3-5 years of experience in Big Data management and associated infrastructure, including Hadoop and Apache Spark
Technical chops: Hadoop, Apache Hive, Apache Spark, SQL. Experience in either R or Python would be a strong plus.
Able to learn systems and acquire technical skills quickly, and have a problem-solving attitude
Statistical background or equivalent experience as a data scientist would be considered beneficial
You're a phenomenal teammate but able to work independently as well
You have strong written and verbal communication skills
About Yesler

Yesler is a B2B marketing agency that blends strategy, creativity, and technology to build demand, engage customers, and grow revenue for our clients. From offices in Seattle, Portland, Philadelphia, and Toronto, we’re a team of more than 200 strategists, designers, technologists, media experts, and analysts who are on a mission to change the marketing status quo. We take an integrated approach to serving the entire marketing organization—not only the strategies, content, and programs to create demand but also the infrastructure, operations, and project management required to execute, measure, and optimize for results.

Yesler has continually been recognized as a great place to work. We’ve earned 19 Best Workplace Awards over the last decade, including Inc. Magazine's Best Workplaces, and we were named one of the Top 50 B2B Marketing Agencies by Chief Marketer in 2016 and 2017.

Our mission is to positively impact the people we work with, the people we work for, and the communities we live in. We support our mission by providing an inclusive environment where all are empowered to share their diverse perspectives and experiences, so we can ultimately be better together.

Our policies, practices, programs, activities and decisions regarding employment, hiring, assignment, promotion, compensation, volunteerism, and internships are not based on a person’s race, color, sex, age, religion, national origin, mental or physical disability, ancestry, military discharge status, sexual orientation, gender identity or expression, marital status, source of income, parental status, housing status, or other protected status. We strongly encourage women, people of color, veterans, individuals with disabilities, and members of the LGBTQ community to apply.

Note: To apply for this job, submit your application by clicking on the Apply Now button on this page"|4.4 ★|$83K-$120K (Glassdoor Est.)
7|Data Scientist|"Who we are:

Rover.com connects pet parents with the nations largest network of pet sitters and dog walkers. On Rover, pet parents can easily discover, book, and manage personalized care for their dogs including pet sitting, dog walking, and doggy day care. Founded in 2011 on the belief that everyone should have the opportunity to experience the unconditional love of a dog, Rover improves and simplifies life for pet parents and the dogs they love.

We're headquartered in downtown Seattle. We're an agile, fast-growing startup, and our leadership comes from some of the country's most respected tech companies. Our Senior Leadership team has been recognized by Forbes, Seattle Business, and Geekwire. For the past three years we have been nominated as one of Seattle's ""Best Places to Work"" by Seattle Business Magazine, and celebrated awards in 2016 and 2017 by Seattle Met magazine and the Puget Sound Business Journal. We're also the recipient of Worlds Most Dog-Friendly Offices in 2016 by Inc.com. Needless to say (but we're going to say it anyway)we love dogs, and we wouldn't dream of going to work without them by our sides.

Who we're looking for:

We are looking for people who understand that behind every data point there is a pet and a pet person. When you develop and deploy an algorithm, you are not just producing a score or rule set, you are altering the customer experience and impacting the business in measurable ways. You should be excited to tackle a broad array of problems and work in a fast-paced, collaborative startup environment.

What does Data Science mean at Rover?

At Rover we obsess over our customers needs, relying heavily on data to improve the customer journey, and to continuously optimize outcomes in our marketplaces. Our entire organization is metric driven and underpinned by data science. Data scientists are responsible for defining the right metrics, understanding nuanced marketplace dynamics, and developing models and algorithms that power our business and technology.
As a Data Scientist You Will:
Identify opportunities to operate the marketplace more efficiently, working closely with business, product, and engineering leaders
Build multivariate models to arrive at inferences or predict future behavior
Develop algorithms that match owners with providers or solve other customer needs
Design and analyze A/B user tests and marketplace experiments, often in partnership with product managers
Deploy machine learning models at scale, writing production code in collaboration with machine learning platform engineers
Your Toolset Includes:
SQL
Python or R
Google Analytics or similar user funnel analytics tools
Tableau, Looker, or similar data visualization tools
Data-informed decision making with rigorous split testing.
Integrated teams with developers, designers and analysts working side-by-side.
Your Qualifications:
B.S in a quantitative discipline required; advanced degree (MS or PhD) preferred
Strong analytical, technical and coding skills
Expertise in one or more core data science disciplines (e.g, supervised learning, machine learning, etc)
Marketplace experience preferred
Experience in online user testing preferred
2+ years of experience in a technical role
Why Well Hire You:
You are familiar with more than just the basics, and have more than cursory experience with at least sub-discipline in the broad field of data science. In other words, you know where the sharp edges are, and can lead decisions around what techniques are and are not appropriate to employ for particular classes of problem
Youre a deeply analytical thinker who is passionate about finding structure in data, and using data to drive real value to the end user (and thus the business).
You are passionate about our core business. You will instinctively dig into every aspect of what it means to be a dog sitter and a dog owner on the Rover platform.
You can take abstractly defined problems and work with (imperfect) data to drive decisions
You are a great partner to engineers and business owners alike
You can pitch your own ideas and shepherd them through to completion
You show a pattern of being self-started, self-taught and self-directed
You favor open communication with willingness to ask and answer questions
You are output- and outcome-oriented
You have excellent written and verbal communication skills
You play nicely with others (and dogs)
Benefits of Working at Rover.com:
Competitive compensation
401k
Stock options
4 weeks paid time off
Competitive benefits package, including medical, dental, and vision insurance
Commuter benefits
Bring your dog to work (and unlimited puppy time)
Doggy benefits, including $1,000 toward adopting your first dog
Stocked fridges, coffee, soda, and lots of treats (for humans and dogs)
Free catered lunches semi-monthly
Regular team activities, including happy hours, snow tubing, game nights, and more
50 free dog walks a year
This position is based at Rover HQ in Downtown Seattle.
Competitive salary & benefits depending on experience.
Candidates must be eligible to work in the US."|4.5 ★|$82K-$121K (Glassdoor Est.)
8|Bioinformatics Scientist|"We are seeking a Bioinformatics Scientist for out Redmond, WA lab. This position will support continuous improvement efforts and perform data analysis to support assays being performed in the lab. Responsibilities will include the following:
Perform data analysis to of new or improved methods in genomics assays. Provide statistical expertise and works on developmental projects.
Work in a fast-paced, high throughput environment.
Effectively use different software to complete directed gene expression experiments. Effectively train on and perform new and updated protocols quickly and competently.
Work methodically and in an organized and timely manner to produce high-quality data analysis, minimizing errors.
Demonstrated technical expertise of pipelines within the CGL Bioinformatics Group.
With little supervision, understand and perform specific tasks that need to be completed on a daily basis. Organize and lead meetings with participants across different departments in order to present data, and or recommendations for specific goals.
Work individually and as part of a team in order to perform specific, prioritized objectives. Collaborate and or lead other teams within the CGL department on specific and directed tasks such as process investigations.
Initiate, author and or modify standard operating procedures to reflect current and best practices. In addition, successfully incorporate these documents into the Agile documentation control software. Work on publications of developmental projects.
Effectively learn a new complicated procedure, with little documentation and direction from the manager.
Other duties as assigned.
PhD in Biology or Computational Biology
2 years of Bioinformatics experience in molecular biology.
Demonstrated organizational and communication skills.
Ability to develop, test and implement new analysis tools
Proficiency R and linux scripting. Exeperience in other programing languages (python, perl)
Strong interpersonal and demonstrated team work skills.
Note: To apply for this job, submit your application by clicking on the Apply Now button on this page"|3.2 ★|$88K-$118K (Glassdoor Est.)
9|Data Scientist|"The Intelligent Conversation and Communications Cloud Media group uses data science to solve problems in advanced teleconferencing scenarios that are used by hundreds of millions of customers worldwide (via Skype, Skype for Business, and Teams). We develop fundamental technologies and do applied research and development to enable better customer experiences for real-time collaboration. We are seeking a highly capable Senior Data Scientist who is passionate about data science and driven to make an impact.

Responsibilities
Conduct analysis and modeling in the area of audio/video call quality (both fidelity and reliability). Perform exploratory data analysis and build predictive models that fit subjective call quality metrics.
Develop fundamental metrics and tools for measuring call quality and validate these metrics/tools
Determine key factors that will improve call quality, help prototype them, and help drive these into the product
Effectively collaborate within Skype, Teams and other related Microsoft divisions to drive call quality initiatives
Drive independent investigations resulting in shipping product code, patents, and publications.
Qualifications
Ph.D. or MS degree in Computer Science, Applied Mathematics, or related field
Deep experience in data mining, machine learning, statistics, and signal processing (optional)
Minimum of 2 years of industry experience with data mining tools such as Python, R, Matlab, SQL
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."|4.1 ★|$118K-$160K (Glassdoor Est.)
