,Employer,Job Title,Base Salary,Location,Submit Date,Start Date,Case Status
0,F5 NETWORKS INC,APPLICATION DELIVERY ENGINEER,"101,442","PLANO, TX",11/02/2017,01/02/2018,CERTIFIED
1,F5 NETWORKS INC,APPLICATION DELIVERY ENGINEER,"101,442","NEW YORK, NY",11/02/2017,01/02/2018,CERTIFIED
2,F5 NETWORKS INC,APPLICATIONS DELIVERY ENGINEER,"101,442","DALLAS, TX",12/03/2015,01/02/2016,CERTIFIED
3,F5 NETWORKS INC,APPLICATIONS DELIVERY ENGINEER,"101,442","NEW YORK, NY",12/03/2015,01/02/2016,CERTIFIED
4,F5 NETWORKS INC,ASIC ENGINEER,"78,000","SAN JOSE, CA",02/27/2014,08/27/2014,CERTIFIED
5,F5 NETWORKS INC,ASIC ENGINEER,"85,000","SAN JOSE, CA",02/24/2017,08/21/2017,CERTIFIED
6,F5 NETWORKS INC,ASIC ENGINEER,"94,438","SAN JOSE, CA",03/04/2015,09/01/2015,CERTIFIED
7,F5 NETWORKS INC,ASIC ENGINEER,"107,477","SAN JOSE, CA",09/27/2016,10/03/2016,CERTIFIED
8,F5 NETWORKS INC,BI ETL DEVELOPER,"88,504","SEATTLE, WA",02/03/2017,07/07/2017,CERTIFIED
9,F5 NETWORKS INC,BI ETL DEVELOPER,"88,504","SEATTLE, WA",06/30/2014,07/07/2014,CERTIFIED
10,F5 NETWORKS INC,BUSINESS ANALYST,"78,582","SEATTLE, WA",03/20/2018,09/15/2018,CERTIFIED
11,F5 NETWORKS INC,BUSINESS ANALYST,"99,902","SEATTLE, WA",09/03/2014,09/15/2014,CERTIFIED
12,F5 NETWORKS INC,BUSINESS DEVELOPMENT MANAGER,"125,000","SAN JOSE, CA",09/15/2016,09/26/2016,CERTIFIED
13,F5 NETWORKS INC,BUSINESS INTELLIGENCE ANALYST,"90,293","SEATTLE, WA",03/05/2018,08/31/2018,CERTIFIED
14,F5 NETWORKS INC,COMPUTER SYSTEMS ANALYST,"98,987","SEATTLE, WA",10/23/2013,10/28/2013,CERTIFIED
15,F5 NETWORKS INC,COMPUTER SYSTEMS ANALYSTS,"55,152","LOWELL, MA",03/04/2015,09/02/2015,CERTIFIED
16,F5 NETWORKS INC,DATA QUALITY ANALYST,"78,000","SEATTLE, WA",03/08/2016,09/02/2016,CERTIFIED
17,F5 NETWORKS INC,ENTERPRISE NETWORK ENGINEER,"92,076","SEATTLE, WA",06/15/2015,09/21/2015,CERTIFIED
18,F5 NETWORKS INC,ENTERPRISE NETWORK ENGINEER,"95,376","SEATTLE, WA",05/30/2018,09/21/2018,CERTIFIED
19,F5 NETWORKS INC,ENTERPRISE NETWORK ENGINEER,"95,500","SEATTLE, WA",05/08/2018,08/24/2018,CERTIFIED
20,F5 NETWORKS INC,FIELD CUSTOMER ENGINEER,"82,000","SOMERVILLE, MA",11/04/2013,11/05/2013,CERTIFIED
21,F5 NETWORKS INC,FIELD CUSTOMER ENGINEER,"86,000","SEATTLE, WA",03/03/2015,08/24/2015,CERTIFIED
22,F5 NETWORKS INC,FIELD CUSTOMER ENGINEER,"100,560","BOSTON, MA",09/07/2016,11/05/2016,CERTIFIED
23,F5 NETWORKS INC,FIELD CUSTOMER ENGINEER,"101,426","IRVING, TX",12/12/2016,12/16/2016,CERTIFIED
24,F5 NETWORKS INC,FIELD CUSTOMER ENGINEER,"101,426","IRVING, TX",12/03/2013,12/16/2013,CERTIFIED
25,F5 NETWORKS INC,FIELD SYSTEMS ANALYST,"98,904","PLANO, TX",12/23/2014,01/12/2015,CERTIFIED
26,F5 NETWORKS INC,FIELD SYSTEMS ENGINEER,"95,500","MENLO PARK, CA",06/30/2014,07/07/2014,CERTIFIED
27,F5 NETWORKS INC,FIELD SYSTEMS ENGINEER,"110,219","WASHINGTON, DC",09/13/2016,10/03/2016,CERTIFIED
28,F5 NETWORKS INC,FIELD SYSTEMS ENGINEER,"110,424","LOWELL, MA",01/11/2016,01/18/2016,CERTIFIED
29,F5 NETWORKS INC,FIELD SYSTEMS ENGINEER,"152,880","MENLO PARK, CA",02/21/2017,07/07/2017,CERTIFIED
30,F5 NETWORKS INC,HARDWARE ENGINEER,"84,089","SAN JOSE, CA",10/13/2014,10/27/2014,CERTIFIED
31,F5 NETWORKS INC,HARDWARE ENGINEER,"95,400","LIBERTY LAKE, WA",05/15/2018,11/05/2018,CERTIFIED
