|job_title|job_description|company|stars|salary_range
0|Project Engineer|"POSITION SUMMARY

Project Engineers assist the Project Manager with the planning and daily execution of the construction project. They are responsible for maintaining certain aspects of the project schedule as assigned by the Project Manager, by managing the process of submittal approvals, coordinating the timely delivery of materials, maintaining schedules and budgets.

Lewis’ Project Engineers are integral members of project teams. They work closely with project managers, superintendents, company craftspeople and subcontractors with primary responsibilities that include cost management and quality control.

PRIMARY FUNCTIONS AND ESSENTIAL RESPONSIBILITES

Project Engineering and Document Control
Working knowledge project estimating as it relates to assigned areas of responsibility.
Working knowledge of project schedule and assist in maintaining the project computerized schedule.
Work with Lead Project Engineer and Project Manager to prepare scope of work instructions, technical requirements and bid packages for subcontractor and vendor items.
Utilize the project management system to expedite, review and approve shop drawings, submittals and safety requirements for assigned tasks.
Distribute approved submittals to pertinent subcontractors.
Ensure that assigned materials and equipment are released for fabrication in adequate lead time to accommodate the required jobsite delivery date designated by the Superintendent on assigned tasks. Procure other materials and equipment as instructed by the Lead Project Engineer and Project Superintendent.
Obtain and check subcontractor’s pricing and assist in assembling change quotations as directed by the Lead Project Engineer or Project Manager.
Assist in maintaining the project files, close-out and storage of documents at completion.
Working knowledge of the contract documents to include reviewing all drawings and specifications for design inconsistencies and conflicts.
Know and understand the subcontract documents as they apply to assigned areas of responsibility.
Write field questions and expedite answers from Architect to allow the assigned components of the work to be fabricated and installed in the most efficient manner.
Assist in documenting changes, maintain project record drawings and specifications.
Customer Relations and Communication
Builds effective relationships with customers, design team, subcontractors, suppliers, and user groups that reflect and support company core values and meets and exceeds the customer’s expectations.
Clear communication and a collaborative approach is essential for a Project Engineer enabling them to share information between relevant teams and trades.
Exhibit superior writing skills, and review and correspond to and from subcontractors and vendors for assigned tasks.
Receive and distribute information on clarifications and changes in the work for areas of responsibility.
Prepare and distribute minutes to meetings as directed by the Lead Project Engineer or Project Manager.
IN ORDER TO SUCCEED IN THIS ROLE
Bachelor’s degree in Construction Management, Engineering or related field or equivalent years of experience required.
Minimum of two years or more of general contracting experience, preferably with proven performance on large commercial building projects.
Technology proficiency in programs such as Revit, Bluebeam, will be essential to success in the role.
Prior experience with MEP systems coordination and complex structure is preferred.
Creative problem solver and excellent communication skills.
A positive attitude and willingness to work with others. We believe that happy people make for a fun and productive culture.

Apply Now
Share"|Lease Crutcher Lewis|4.2 ★|$60K-$81K (Glassdoor Est.)
1|Systems Engineer|"Company Overview
Carbonite provides a complete Data Protection Platform for businesses and the IT professionals who serve them. From backup and disaster recovery to data migration, high availability and endpoint protection, our flexible solutions can be tailored to meet the data protection needs of any business.
Carbonite solutions are strengthened by our outstanding team members and through strategic acquisitions—like our purchase of leading endpoint protection provider Mozy Inc., and high availability specialist DoubleTake Software. Our laser focus on security and our track record of meeting customers' unique requirements are two more reasons why businesses around the globe depend on Carbonite.
Carbonite is made up of over 1,000 smart and dedicated individuals who work at locations all over the world. We foster a thriving, dynamic environment rich with inventive minds and entrepreneurial spirit. With our robust Data Protection Platform, we are well-positioned in a rapidly growing market. We're currently looking for talented people to join the Carbonite team both in the U.S. and globally. Are you ready to grow with us?
The Role
We are looking for people who are not merely interested in a job, but rather are passionate about their profession. The successful Cloud Systems Engineer is a person who rolls up their sleeves and “gets it done.” They relish accountability rather than avoid it. “That’s not my job” is not a part of their vocabulary; they are more likely to say, “whatever it takes.” They are driven by an obsession to deliver the highest levels of satisfaction and value to our customers and partners. Above all they are thoroughly professional and ethical in everything they do.
Demonstrates strong technical expertise and a working knowledge of the various Application Systems and underlying supporting infrastructure within Cloud Operations.
Demonstrate the ability to identify problems and work creatively to resolve them, considering the impact of actions on other departments/services and team members.
Consistently works 'effectively” and demonstrates the ability to enhance the working relations with team members and other departments/services.
Demonstrates strong service-oriented skills, responding to question and inquiries in a timely manner, while always maintaining a positive approach in handling problems for Managed Service customers and other departments/services.
Specific Objectives and Responsibilities

Your First Six Months:
Get familiar with Carbonite Endpoint Protection backup software, clients and backends.
Learn the basics of how an Azure vault works, is upgraded and deployed.
Work with cross teams to fulfill and deploy new customers.
Get a basic understanding of how CEP works in SQL and get to know the DB schema.
Learn CEP troubleshooting for support escalations.
Six to Twelve Months and Beyond:
Be able to deploy on-prem customers and Azure vaults.
Assist with support escalations.
Perform Azure vault upgrades and hotfixes.
Monitor and maintain current customer vault uptime in on-call rotation.
Become proficient at writing SQL database queries for troubleshooting issues.
Key Challenges to Overcome

We are looking for a Cloud Systems Engineer that will provide a variety of professional duties, from system administration to installing, configuring, maintaining and supporting IaaS infrastructure systems and applications for on premise solutions and cloud services. Additionally, the Cloud Systems Engineer is responsible for technical troubleshooting and complex problem resolution on escalated issues from various business units, while ensuring data integrity on all vaulting systems for customer backup and recovery, as well as support on any system monitoring tools used to manage the cloud application service environments.
Success Factors

What will make you successful at Carbonite:
A track record of good judgment and decision-making in positions with significant responsibility
Highly autonomous and able to independently identify high value projects and drive them to completion
Demonstrated leadership capability in cross-functional team environments
High degree of comfort with complex technical environments
Having and being able to articulate/defend an informed opinion on important topics
Skills & Experience
Work at the edge of their comfort zone; take risks and urge their teammates to do the same.
Take responsibility for mistakes, but also learn from them.
Live by the mantra, “change is good.” Are flexible and adaptable; embrace change, not fear it.
Always searching for innovative ways to work – never influenced by “that’s how it’s always been done.”
B.S. degree in a technical discipline or Systems Administration equivalent experience
2 - 4 years of combined experience in System Administration or Support
Minimum 2 years' experience working with Microsoft Windows Server products
Working experience with Microsoft Hyper-V
1 years’ experience with Windows 7 through 10
2 years’ experience supporting internal or external customers
Database experience with MSSQL
Basic to intermediate network troubleshooting experience across all Microsoft Windows platforms
Excellent customer service skills with the ability to handle and diffuse difficult customers and situations.
Familiarity with advanced networking concepts
Familiarity or experience working with Microsoft Azure
Familiarity with back-up software
Ability to multi-task and work under dynamic conditions and constraints with minimal supervision i.e. strong analytical, prioritization, time management, attention to detail and follow-upskills.
Highly motivated, pro-active, and team oriented
Carbonite, Inc. is an equal employment opportunity and affirmative action employer does not discriminate based upon race, color, religion, sex, national origin, age, genetic information, gender identity or expression, sexual orientation, protected veteran status, status as a qualified individual with a disability, or any other characteristic protected by law. Upon request, accommodations will be made available during the recruitment process for applicants with a disability. If you require accommodations, we will work with you to provide or arrange for the provision of suitable accommodation wherever possible. All qualified applicants are encouraged to apply."|Carbonite|3.0 ★|$74K-$104K (Glassdoor Est.)
2|BICSI Outside Plant (OSP) Fiber Engineer|"The Outside Plant Engineer is responsible for fiber optic route engineering, pole line and underground route field documentation, construction permits, project tracking, as-built documentation and electronic records preparation in accordance with company policies, procedures and quality standards, while meeting customer delivery requirements. Works with network planning, central office, transmission and operations personnel to support growth, replacements and upgrades of telecommunications plant facilities.
Principal Duties and Responsibilities
Engineer aerial, underground, and inside fiber optic routes
Copper telephone cable design including size and gauge, cross box design and terminals; rearrangements including cutovers, pair conditioning, cable assignments, loop make ups, bridge taps, splice documents
Review Planned Road Improvement Civil Design Drawings and identify/mitigate conflicts with existing aerial, buried and underground telecommunications facilities. Coordinate resolution associated with all utilities impacted by proposed road improvement designs and joint utility trenching.
Manage all projects to meet or exceed minimum specifications of Construction Policies, NESC, NEC, OSHA, State, County and all other applicable municipalities/agencies.
Maintain a high level of productivity, assuring time-frames are met for projects occurring simultaneously and track and generate reports on project status.
Prepare, manage and maintain project documentation, maps and CAD drawings. Create drawings and records of fiber and copper routes, splice locations, construction notes, bills of materials and project overviews.
Research and acquire permits, rights of way and easement agreements.
Respond to DOT requests for information and plan for facility relocation.
Review and record As-Built documentation
Attend customer meetings; perform site surveys and walk-outs as necessary to comply with customer requirements and time frames.
Work with multiple customers and prepare all deliverables within each customer's own specifications.
Job Requirements
Fiber Survey and Design experience with CenturyLink, Verizon, AT&T and/or other ILEC/CLEC telecom companies is required.
Experience in planning copper and fiber optic network additions and estimating OSP projects by detail.
Experience working CAT 5 cabling and wiring within buildings.
Ability to read and interpret documents such as technical specifications, professional documentation and blueprints.
Demonstrated skill in the use of AutoCAD, MicroStation, MS Office Suite, Pole Analysis software, GPS handheld systems, and other industry-related hardware and software, strongly desired.
Ability to write reports, correspondence and documentation.
Ability to communicate effectively with vendors, customers and other employees of the organization.
Some out of town travel and overnight travel may be required.
Must have a valid driver's license, safe driving record and carry proper insurance.
This position has the ability to work remotely
Education
A Bachelors' or Associate’s Degree in a relevant field of Engineering or five to ten years of related experience (Technical knowledge of the Telecommunications industry and construction practices).
BICSI RCDD Certification is desired."|ATCO Communications Services, LLC||Employer Provided Salary:$27-$32 Per Hour
3|Associate Software Engineer, Threat Research|"The ExtraHop platform is a novel approach to processing vast amounts of wire data in real-time. Want to join a collaborative team that builds solutions which provide deep performance insights, behavioral security analyses, and drive business analytics? Keep reading.

Do you like securing complex networks? ExtraHop Networks is seeking an expert in networking and attack tools to research security threats. We collect massive amounts of network data and are looking for novel, effective ways to detect malware on the wire. We are seeking an engineer who can research malware; how it operates on the network and specific behaviors. You must have an understanding of the attack lifecycle, but a deep desire to be a white hat and stop attackers before they can do damage.

Duties & Responsibilities
Setup network equipment to build a scalable, secure and sustainable malware research system
Understand and be able to run network attack tools
Work with other engineers to categorize specific network behavior of malware
Work with a collaborative, dedicated and seasoned team of engineers
Understand network protocols
Spread your security subject matter expertise through the organization
Install, run, and benchmark emerging products and tools in a lab environment to provide product development and product management strategic data.
Required Skills & Experience
Bachelors degree or equivalent experience in computer science, engineering, or information technology
Experience in a Unix-based environment
Solid knowledge of Linux toolchain, Python, JavaScript, and shell scripting
Knowledge of building scalable and high-performance systems
Understanding of various product-development life cycles
Desired Skills & Experience
Solid understanding of the OSI model and excellent working knowledge of the key protocols from Layer 2 through Layer 7 including ARP, IP, TCP, UDP, and HTTP
TCP/IP networking.
Experience using Linux networking tools such as tcpdump, tcpreplay, pcap tools, apache bench, etc.
Experience using and managing virtual infrastructure for VMware, Hyper-V, Xen, and KVM.
Experience standing up systems using Linux containers, Docker, Puppet, Chef, etc
An understanding of how attackers breach networks
About ExtraHop

At ExtraHop, we create great products because we give talented employees the freedom to be intellectually curious and creative. We seek a diversity of perspectives and foster employee quirkiness and spunk to help drive innovation. Every ExtraHop employee knows that were all in this together and that work is an important part of life so it should be fun. A sense of humor is required here, seriously!

We are the global leader in real-time wire data analytics, a novel approach to IT Operational Analytics. Our market opportunity is greater than $15B and our solutions span all industries. Pretty neat, huh? If you want to join a fun team that produces award-winning products that provide tremendous business value and delight customers, then ExtraHop is the company for you!

Founded by engineers, ExtraHop is a Seattle-based technology company that delivers elegant solutions for the tech industrys most challenging problems.

As a privately held fast-growing technology leader in the $20B IT operations management space, ExtraHop Networks is positioned to be the next great systems company. We are known as innovators who take a smart, creative approach to solving problems. Our ExtraHop team and product line have received many awards, including wins in multiple categories of Best of Interop, a Gold Medal prize in Puget Sound Business Journals annual list of Washingtons Best Workplaces, and several Gold Stevie American Business Awards.

ExtraHop is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, or national origin or any other characteristic protected under federal, state, or applicable local law.

Note: To apply for this job, submit your application by clicking on the Apply Now button on this page"|ExtraHop Networks, Inc.|4.0 ★|$73K-$107K (Glassdoor Est.)
4|Network Engineer|"Company Description

At Qualtrics, our mission is to close experience gapsthe costly differences between what customers and employees expect, and what they're receiving.

9,000+ organizations worldwide and more than 80% of the Fortune 100 rely on Qualtrics Experience Management to collect and analyze feedbackmore feedback than they ever thought possible. With Qualtrics XM, organizations can continually assess the quality of their four core experiencescustomers, employees, products, and brands. They can be at every meaningful touchpoint, for every experience, and predict which changes will resonate most with customers and employees.

The Challenge

Our Network Operations team is rapidly growing as Qualtrics continues to grow. You are someone who is fearless, loves the challenges that come with scaling rapidly, holds a high bar for quality and has an obsession to deliver that quality to his/her users. This position can be based in either our Provo, UT or Seattle, WA offices.

Expectations for Success
Bachelor's Degree in Information Technology or related
2+ years of networking experience
2+ years of programming experience in the realm of IPAM, network automation, VPN provisioning or other network related domains
You have a solid grasp of firewall configurations
You have an understanding of network load balancing including configuration and failover
Detailed understanding of F5 configuration and iRules a plus
Experience with BGP setup and configuration in physical data centers
Experience with and understanding of Edge and core routing and BGP/OSPF
Experience programming in Python
Understanding and familiarity with Brocade a plus
Experience working with AWS is a plus
A Day in the Life

You will work on the setup, configuration, and maintenance of:
BGP peering between Qualtrics and multiple peering providers
Globally interconnected network via private p2p circuits and IPSEC VPN's
Core/Edge switching: Layer 2/Layer 3 network redundancy methodologies, switch stacking
F5 Load Balancers
What differentiates us from other companies
Work life integration is deeply important to us - we have frequent office events, team outings, and happy hours.
We take pride in our offices design aiming at cultivating creativity from our rooftop views to an open and collaborative work space.
On top of standard benefits package (medical, dental, vision, life insurance, etc) we provide snacks, drinks, and free lunches in our office.
We believe in sharing Qualtrics success which is part of the compensation for all employees."|Qualtrics|3.8 ★|$94K-$141K (Glassdoor Est.)
5|Software Engineer - Employee Experience|"Company Description

At Qualtrics, our mission is to close experience gapsthe costly differences between what customers and employees expect, and what they're receiving.

9,000+ organizations worldwide and more than 80% of the Fortune 100 rely on the Qualtrics Experience Management Platform to collect, analyze, and act on feedbackmore feedback than they ever thought possible. With Qualtrics XM, organizations can manage the four core experiences of businesscustomer, employee, product, and brand experience. Organizations can be at every meaningful touchpoint, for every experience, and predict what will resonate most with customers and employees.

The Challenge

You will be building leading edge technologies that will enable our customers to be more employee centric by building our Employee Experience product suite. We're building services that will illuminate our customer's next opportunity and enable them to close experience gaps and predict success while monitoring ongoing feedback.

As a Software Development Engineer, you will be applying your distributed systems knowledge, familiarity with frontend development, databases, various storage engines, and web service design and implementation to build extraordinary software and services. Each team has freedom on choosing the stack on each project, allowing engineers to experiment and learn new, up and coming technologies like, reactjs, GoLang, Scala, Spark and Galera. Primarily, our stack includes AngularJS, node.js, Java, PHP, JavaScript, mongoDB, MySQL, and Cassandra.

You should love building simple solutions to solve hard customer problems. Crafting systems in an agile environment to withstand hyper growth. Owning quality from end to end is a rewarding challenge and one of the reasons Qualtrics is such an exciting place to work!

The Expectation for Success
Bachelor's degree in Computer Science
2-6 years of meaningful experience
Strong level of curiosity and interest to learn
Strong algorithms, data structures and coding background
Disciplined approach to testing and quality assurance
Experience with web infrastructure and distributed systems
Experience with software engineering standard methodologies (e.g. unit testing, code reviews, design document
A Day in the Life
Develop scalable, fast, robust, and simple web-based solutions to tackle complex business problems
Implement new features and optimize existing ones to drive maximum performance
Have worked on frontend development and have familiarity with backend services
Work closely with, and incorporate feedback from other specialists, tech-ops, and product managers
Attend daily stand-up meetings, collaborate with your peers, prioritize features, and work with a sense of urgency to deliver value to your customers
What differentiates us from other companies
Work life integration is deeply important to us - we have frequent office events, team outings, and happy hours.
We take pride in our offices design aiming at cultivating creativity from our rooftop views to an open and collaborative work space.
On top of standard benefits package (medical, dental, vision, life insurance, etc) we provide snacks, drinks, and free lunches in our office.
We believe in sharing Qualtrics success which is part of the compensation for all employees."|Qualtrics|3.8 ★|$92K-$148K (Glassdoor Est.)
6|Software Development Engineer in Test|"At Qualtrics, our mission is to close experience gapsthe costly differences between what customers and employees expect, and what they're receiving.

9,000+ organizations worldwide and more than 80% of the Fortune 100 rely on the Qualtrics Experience Management Platform to collect, analyze, and act on feedbackmore feedback than they ever thought possible. With Qualtrics XM, organizations can manage the four core experiences of businesscustomer, employee, product, and brand experience. Organizations can be at every meaningful touchpoint, for every experience, and predict what will resonate most with customers and employees.

About the Team

Our team is a collection of deeply passionate engineers who are riding the cutting edge of cloud computing and web scalability. We organize and sort terabytes of data and develop solutions used by millions of users every single day. We design tools that make sophisticated research simple. Our environment is primarily Java, Scala, C++, Go, JavaScript, Angular.JS, D3/C3, Node.js, MySQL NoSQL (MongoDB), AWS, Python, PHP, and Docker. In our collaborative culture, you will find plenty of opportunities to impact our full-stack product; from Web & mobile UI to data visualization & analysis to microservices APIs to data storage & processing.

Responsibilities
You design and execute test plans and cases for our full stack web application.
You convert manual tests cases into automated test cases.
You develop and design test frameworks, test tools, and automation for complex, distributed SaaS systems for other STEs, SDETs, and SDEs to use.
You ensure code is tested at the appropriate level (unit vs functional, or API vs UI), reducing unnecessary test cases, intermittent failures, and increased execution time.
You define, implement, and analyze metrics to resolve test effectiveness and the overall quality of software.
You research, share, and recommend new technologies, standard methodologies, and trends.
You help your team evolve by actively participating in the code review process, design discussions, planning, and post-mortems.
You mentor and develop your other team members.
Requirements
Bachelor's degree in Computer Science or related field.
4+ years professional coding experience in a programming language like C#, or C++, knowledge of Java, JavaScript or Python preferred.
1+ years professional experience building test automation frameworks and tools from scratch.
Proficiency with a broad range of data structures, algorithms, and design patterns, and knowing when it's appropriate to use them (and when it's not).
Experience applying different software testing techniques, such as equivalence class partitioning, boundary value testing, pairwise testing, etc.
Experience with SOA and distributed systems.
Experience testing web services is a plus.
Experience with Performance / Scalability / reliability testing is also preferred."|Qualtrics|3.8 ★|$83K-$103K (Glassdoor Est.)
7|Software Engineer - Foundational Services|"Company Description

At Qualtrics, our mission is to close experience gapsthe costly differences between what customers and employees expect, and what they're receiving.

9,000+ organizations worldwide and more than 80% of the Fortune 100 rely on the Qualtrics Experience Management Platform to collect, analyze, and act on feedbackmore feedback than they ever thought possible. With Qualtrics XM, organizations can manage the four core experiences of businesscustomer, employee, product, and brand experience. Organizations can be at every meaningful touchpoint, for every experience, and predict what will resonate most with customers and employees.

The Challenge

Our engineering teams are building the next evolution of our Qualtrics Insights Platform which allows our clients to build better employee and customer experiences using data. Each team has freedom on choosing the stack on each project, allowing engineers to experiment and learn new, up and coming technologies like Go, Scala and Galera. Primarily, our stack includes angular, node.js, java, PHP, javascript, mongoDB, mysql, and cassandra.

As a Software Development Engineer on our core technology team, you will be applying your distributed systems knowledge, are familiar with databases and various storage engines, and have experience in web service design and implementation. You should have a sound understanding of Internet protocols (HTTP, DNS, TCP/IP) and experience implementing client/server architecture using Java in a Linux/Unix environment.

The Expectation for Success
Bachelor's degree in Computer Science
2-8+ years of meaningful experience (note - we are looking for phenomenal people at different levels from junior to principle)
Strong level of curiosity and interest to learn
Strong algorithms, data structures and coding background
Disciplined approach to testing and quality assurance
Experience with web infrastructure and distributed systems
Experience with software engineering standard methodologies (e.g. unit testing, code reviews, design document
A Day in the Life

As a software engineer at Qualtrics, you should love building simple solutions to solve hard customer problems. Crafting systems in an agile environment to withstand hyper growth and owning quality from end to end is a rewarding challenge and one of the reasons Qualtrics is such an exciting place to work!
Develop scalable, fast, robust, and simple web-based solutions to solve complex business problems
Implement new features and optimize existing ones to drive maximum performance
Have worked on frontend development and have familiarity with backend services
Work closely with, and incorporate feedback from other specialists, tech-ops, and product managers
Attend daily stand-up meetings, collaborate with your peers, prioritize features, and work with a sense of urgency to deliver value to your customers
What differentiates us from other companies
Work life integration is deeply important to us - we have frequent office events, team outings, and happy hours.
We take pride in our offices design aiming at cultivating creativity from our rooftop views to an open and collaborative work space.
On top of standard benefits package (medical, dental, vision, life insurance, etc) we provide snacks, drinks, and free lunches in our office.
We believe in sharing Qualtrics success which is part of the compensation for all employees."|Qualtrics|3.8 ★|$92K-$148K (Glassdoor Est.)
8|Release Engineer|"As Release Engineer at En Masse, you will be the gatekeeper of the tools and processes that deliver world-class games to our players, while supporting the development of new games and business tools.

You will define and manage the end-to-end process of ingesting builds delivered by our partnered game developers, preparing them for distribution on our platform, and deploying them to the appropriate internal and external environments. You will be responsible for updating live game services for our titles, as well as proactively communicating build and environment status to product stakeholders.

Responsibilities:

Build Tools:
Define the build update and deploy processes, including but not limited to:
Build out scripting to make the build process quicker and easier to manage for test builds and hotfixes.
Build out tools to facilitate deployment and testing of PC and console builds (Xbox One, PS4).
Build out other QA tools for facilitating testing of web, GM Tool, platform features.
Maintain accessibility and system patches for test/internal environments. Facilitate internal game patch deployments until systems are in place that allow team members to deploy their own builds as necessary.
Deployment Management:
Define and maintain build system and processes to create a more universal and scalable deployment process for existing and new titles.
Act as the Subject Matter Expert of patch management across all titles, from ingestion to live deployment.
Strong communication skills for coordinating build delivery of multiple versions across multiple titles, with both internal and external development teams and internal product management teams.
Execute live deployments during non-peak hours.
Assist in T1 on-call support.
Requirements:
2+ years of experience creating and maintaining automated build systems.
Strong working knowledge of common languages used in build systems (C#, Python, PowerShell).
Strong working knowledge of command line interfaces (DOS/Linux), Powershell and SQL interface and maintenance tools.
Ability to work with and manage multiple virtual machine (VM) installations.
Willingness to communicate with overseas developers outside of regular office hours.
Ability to work an on-call rotation for patch and server maintenance issues.
Experience with creating and maintaining documentation such as technical guides and system diagrams.
Ability to mentor and cross-train members of your team and stakeholders in other departments.
Desired skills:
Experience managing deployment and maintenance for console (PlayStation 4 and Xbox One) products is a plus!
Experience with Enterprise-class hypervisors like Hyper-V and VMWare a plus.
Hands-on experience with Content Delivery Networks such as Akamai or MaxCDN a plus.
Hands-on experience with automation tools such as Teraform, Packer, Microsoft System Center Suite, Jenkins, etc.
A passion for massively multiplayer online role-playing games is also a plus!
Our most valuable resource is our people: energetic, innovative thinkers who care equally about doing exciting work and developing a culture that's great for everyone. Our culture of trust and transparency fosters collaboration at all levels. In return for giving us your best, we offer abundant benefits like a generous PTO/Open Vacation Plan, free health benefits to all our employees, transportation passes, a kitchen stocked full of snacks, and more."|En Masse Entertainment|4.4 ★|$68K-$93K (Glassdoor Est.)
9|Information Security Engineer|"Information Security Engineer
Location


WA, Seattle

Division

IT

Requisition ID

735

Apply Now

An Information Security Engineer provides technical assistance with the design, installation, operation, service and maintenance of a variety of multi-user information security systems such as virtual private networks (VPNs) and cloud-based data replication systems. A hands-on technical specialist, an Engineer handles the complex and detailed technical work necessary to establish security systems such as firewalls and encryption-based digital signature software. An Engineer configures and sets-up information security systems such as Intrusion Detection Systems, or else trains others such as Access Control System Administrators, Systems Administrators, Network Administrators, and/or Database Administrators to do these tasks themselves.

WHAT YOU WILL DO:
Provides hands-on information security technical consulting services to teams of technical specialists working on the integration of shared, centralized and/or networked systems.
Provides technical assistance with the initial set-up, secure deployment, and proper management of systems that support information security including virus detection systems, spyware and adware detection systems, spam filtering systems, content control software systems, web site blocking systems, intrusion detection systems, intrusion prevention systems, and software license management systems.
Offers technical information security consulting services to distributed personnel who are responsible for one or more information security systems; these people include Network Administrators, Systems Administrators, and Database Administrators.
Evaluates information system bug reports, security exploit reports, and other information security notices issued by information system vendors, government agencies, universities, professional associations, and other organizations, and as needed, makes recommendations to internal management and technical staff to take precautionary steps.
Acts as the primary technical support liaison in charge of distributing and loading updates to anti-virus systems, intrusion detection systems (IDSs), firewalls, data loss prevention systems, and other deployed security systems within Zonar Systems, Inc.
Configures and tunes one or more Intrusion Detection Systems (IDSs) and Intrusion Prevention Systems (IPSs) to ensure that only authorized personnel have access to Zonar’s systems and networks, and that only authorized activity is taking place on Zonar’s systems and networks.
Runs or works with others that periodically run vulnerability identification software packages and related tools to immediately highlight errors in systems configuration, the need for the update of software with fixes and patches, and other security related changes.
Runs, or works with others who periodically run, fixed password guessing software, unauthorized wireless network access point detection software, unprotected dial-up modem identification software, and similar tools, and then informs those responsible about the need to change their systems to improve security.
With management authorization, collects, securely stores, and utilizes software that is able to decrypt encrypted files, automatically guess user passwords, copy software that has been copy-protected, or otherwise circumvents information security measures.
Compiles, maintains, and documents a collection of software that is able to trace the source of and otherwise investigate attacks on Zonar’s systems.
Acts as a technical consultant on information security incident investigations and forensic technical analyses.
Conducts selected tests of information security measures in accordance with specific instructions provided by the Information Security Officer.
Interprets information security policies, standards, and other requirements as they relate to a specific internal information system, and assists with the implementation of these and other information security requirements.
Redesigns and reengineers internal information handling processes so that information is appropriately protected from a wide variety of problems including unauthorized disclosure, unauthorized use, inappropriate modification, premature deletion, and unavailability.
Serves as an active member of the Computer Emergency Response Team (CERT) and participates in security incident response efforts by, among other things, having an in-depth knowledge of common security exploits, vulnerabilities and countermeasures.
Develops technical documentation describing the deployment, configuration, and management of shared, networked, and multi-user information security systems.
Regularly attends conferences, professional association meetings, and technical symposia to remain aware of the latest information security technological developments.
WHAT YOU WILL BRING TO THE TEAM:
4+ years of related systems/security engineering experience.
Bachelor’s Degree in Computer Science, Engineering or a related technical discipline, or the equivalent combination of education, technical training, or work/military experience.
Computer forensic skills desirable.
Strong analytical skills.
Knowledge of Network and Host Security Assessment tools.
Ability to research, analyze and resolve complex problems with minimal supervision and escalate issues as appropriate.
Experience with deploying and securing Internet applications.
Familiarity with at least one scripting language: Perl, Python, Bash, etc.
Prior experience developing and implementing security policy and/or standards desirable.
Knowledge of operating systems (Windows and *nix).
Knowledge of TCP/IP networking.
Knowledge of network attack signatures, defense countermeasures, vulnerability management, and log analysis.
ABOUT US

Founded in 2001, Zonar has pioneered smart fleet management technology by providing innovative technology that has changed fleet operations in the vocational, pupil and commercial trucking industries. With a unique focus on this field, the Company offers a complete suite of solutions and specialized platforms for our customers in multiple markets. Our patented, award-winning technology keeps fleet owners and managers connected to their fleets and drivers to dispatchers. Zonar has a proven history of continuous innovation on behalf of our customers, providing products that efficiently and easily track commercial fleets and assets, streamline reporting and significantly increasing safety while saving cost. Leveraging a portfolio of 150+ patents, we are building upon these data and related analytics services to create the next generation of software and services for the 15M target customers in the US alone.

Headquartered in Seattle and majority-owned by technology company Continental, Zonar also has a Technology Development Center in downtown Seattle, a regional office in Cincinnati, and a distribution center outside of Atlanta. Our culture is based on ingenuity, leadership, teamwork, excellence, passion, integrity, and fun! Our company has grown to over 350 employees who are goal-oriented and fast-paced, but understand the importance of having a healthy work life balance. This is an excellent opportunity to work for a fast-paced, growing, innovative company, make a big impact on a rapidly evolving space, and have fun along the way!"|Zonar Systems|3.1 ★|$89K-$139K (Glassdoor Est.)
