|job_title|job_description|company|stars|salary_range
0|Operations Assistant|"POSITION SUMMARY

Lease Crutcher Lewis is seeking an Operations Assistant to join a dynamic team. The ideal candidate would be a self-starter, thrive in a highly visible role where they are considered a ‘go-to’ staff member, have a strong attention to detail, and are willing to roll up their sleeves in order to complete time sensitive tasks.

Lewis’ Operations Assistants are integral members of site project teams as well as the Seattle home office. They often work behind the scenes to ensure that all functions of the project site run smoothly. Operations Assistants work closely with Superintendents, Project Managers, Project Engineers, field craft workers, and subcontractors. Their primary duties involve job site management and administration. Occasionally, Operations Assistants may perform more specialized functions. This positions reports to the Administrative Manager.

PRIMARY FUNCTIONS AND ESSENTIAL RESPONSIBILITIES

Job Site and Systems Management
Assist the Project Manager & Superintendent in locating job site office and help to determine final office layout.
Liaise with the IT department to assist in the setup of the job site office (phones, furniture, equipment, supplies, etc.), as assigned by the Project Manager.
Greet job site visitors.
Manage the job site’s petty cash account per Lewis standards.
Order office supplies and organize maintenance for office equipment, as necessary.
Assist in event planning for projects as needed.
Assist in setting up the project management system.
Set up SafetyNet for job site and populate with job team and other necessary information for access to safety audits.
Project Coordination
Prepare job site closeout documentation. Prepare operations and maintenance manuals and warranties from all subs that need to be received, tracked, organized and then distributed to the owners.
Assist the Project Manager with compiling owner billing.
Process & compile owner change orders for execution and send out Subcontractor change orders when executed OCO is received as directed by Project Manager.
Process and send Subcontracts electronically for execution.
Update project management system and AP files with status of Subcontracts and insurance certificates.
Review and track subcontractor insurance certificates for compliance with contract requirements.
Customer Relations and Communication
Process and mail internal & external correspondence including coordinating courier services.
Take meeting minutes for Owner meeting minutes and subcontractor meetings if required or type meeting notes from PE/PM.
IN ORDER TO SUCCEED IN THIS ROLE
Minimum two years’ administrative experience is preferred.
Computer knowledge and proficiency in Microsoft Office Suite is required.
Strong written and verbal communication skills.
Proven ability to function effectively as part of a team and maintain discretion and confidentiality.
Ability to manage time as well as, organizational and complex problem-solving skills.
A positive attitude and willingness to work with others. We believe that happy people make for a fun and productive culture.
Work Environment
Majority of time will be spent on a construction site in the field. Related office work will generally be performed in a temporary job site office.
When on site, company standard personal protective equipment and proper clothing for climactic conditions is required.
Travelling to other Lewis job sites and to the home office for meetings is required.
Work hours will generally match the job site hours of operation.
Lewis offers competitive compensation and benefits

Apply Now
Share"|Lease Crutcher Lewis|4.2 ★|$35K-$55K (Glassdoor Est.)
1|HVAC Installer Apprentice|"We are the premier HVAC/Electrical company in the Pacific Northwest. We are looking for HVAC Install Apprentices. If you have a great attitude and great work ethic we want you! We offer year round work, with no down times. Our work is mostly service with very limited new construction/remodels.

What You're Looking For:

- Excellent pay that rewards you for your performance.

- Paid training in the classroom and in the field. Over 100 hours per year

- Ability to advance your career and challenge yourself.

- Company vehicle fully stocked with what you need to do your job. Fueled and maintained by the company.

- Uniform with laundry service.

- Bonuses and incentives to increase your income potential.

- Paid holidays and vacations.

- Health / Dental Insurance options.

- Fun and challenging work environment.

- Management team working for you.

- Your success is celebrated.

What We're Looking For:

- Desire to learn and advance as an HVAC installer.

- Attention to details. We want the best of the best in our industry.

- Proficient in installing heat pumps, dual fuel heat pump systems, gas furnaces and ductless heat pumps.

- Able to wire low voltage in furnaces, heat pumps and air conditioners.

- Able to pressure test, vacuum down, add refrigeration charge and fire off heat pumps and air conditioners with a high level of quality and attention to detail.

- Project a positive and optimistic attitude.

- Excellent customer service skills.

- Professional appearance.

- Valid driver's license .

- Ability to pass background and drug test.

We want to hear from you today! Take the next step and start your career with a company that is committed to your success.

Install Apprentice can earn $14 - $18 per hour (DOE)"|Blue Flame Heating and Air Conditioning|3.6 ★|Employer Provided Salary:$13-$17 Per Hour
2|Architectural Designer|"This Opportunity

Reporting to the Managing Principal, the primary responsibilities of the Architectural Designer will be to work with and support senior architects and designers on the development of projects. Responsibilities include preparing client presentation materials, schematic and design development drawings, and construction documentation as well as coordinating with consultants and other team members.

Specific Position Responsibilities
Must be fully proficient in Revit
Participate in all phases of project development: from feasibility to contract administration and close-out
Prepare client and jurisdiction presentation materials, design development documentation, site and environmental analysis, construction documentation, contract administration and authority submissions on a wide variety of projects under guidance from senior staff
Identify and solve technical and design problems
Participate in site meetings and conduct general reviews
Coordinate plans and specifications with project consultants
Ensure the flow of information and design consistency within the project team
Manage and facilitate communications with project consultants
Perform industry related research: building science, code issues, design research, detailing, sustainability, etc.
Team player with a positive attitude, passion and patience
Attend meetings as required
Travel: occasional local day travel to clients
Position Requirements
Communication Proficiency
Presentation Skills
Collaboration Skills
Technical Capacity
Problem Solving/Analysis
Time Management and Organization
Graduated with a professional degree/diploma in architecture with 3 – 5 years of professional experience
Must be fully proficient in Revit (yes, this is the second time this is listed)
Ability to work well with clients, contractors, consultants and colleagues
Ability to work in a team environment and meet project deliverables in a timely manner
Creative and pragmatic with a focus on design
Experience with digital and analogue model making skills a recommended asset
Experience with Adobe Creative Suite
Knowledge of regional building code
Excellent written and verbal communication skills
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for the job. Duties, responsibilities and activities may change at any time with or without notice.

*This company is an Equal Employment Opportunity Employer.

If you are qualified and interested in this position, please email your resume and portfolio to bhresumes@bharchitects.com with “SEATTLE – Architectural Designer”."|B+H|2.7 ★|$39K-$54K (Glassdoor Est.)
3|Fixed Income Portfolio Manager|"Job Description:
Provide research and portfolio management support to the Investment Team by conducting due diligence, making buy/sell decisions, trading and constructing portfolios. Assist in marketing and client service. Work with the business unit and Davidson IT to identify and implement workflow solutions to improve efficiency and productivity. Assist with operational and regulatory processes as needed.
Required Experience:
Qualifications/Requirements:
Possess five or more years of Fixed Income experience
Minimum of a bachelor’s degree
MBA and/or CFA® designation preferred
Experience using Bloomberg and trading platforms
Excellent communication, interpersonal, and listening skills
Self-starter with superior time management and organizational skills
Ability to collaborate effectively with team members as well as work independently
Duties:
Apply extensive knowledge of overall credit markets to provide meaningful contribution to the market analysis of both equity and credit issues in our collaborative team environment.
Work with the entire Investment Team in analyzing credit issues and formulating investment recommendations for portfolio construction.
Analyze and transact in issues that typically include treasuries, TIPS, mortgage-backed securities, municipal and corporate bonds.
The Portfolio Manager will also need to be available for periodic client interaction, as well as formal presentations to current and prospective clients, and work with these parties to develop investment strategies in adherence to Investment Policy Statements and other client guidelines as appropriate.
Adhere to Team Agreement, a commitment to the following behaviors:
Curiosity (remaining open to learning)
Accountability (taking 100% responsibility (no more; no less) for results)
Candor (engaging in courageous truth-telling to increase power and speed in decisions)
Awareness (tapping every emotional and intuitional resource for decisions)
Passion (discovering and allowing people to do what they do best)
Appreciation (expressing gratitude and fostering a culture of sincere cooperation)

Keyword: Portfolio Manager/Fixed Income
From: D.A. Davidson Companies"|D.A. Davidson Companies|4.0 ★|$63K-$116K (Glassdoor Est.)
4|BICSI Outside Plant (OSP) Fiber Engineer|"The Outside Plant Engineer is responsible for fiber optic route engineering, pole line and underground route field documentation, construction permits, project tracking, as-built documentation and electronic records preparation in accordance with company policies, procedures and quality standards, while meeting customer delivery requirements. Works with network planning, central office, transmission and operations personnel to support growth, replacements and upgrades of telecommunications plant facilities.
Principal Duties and Responsibilities
Engineer aerial, underground, and inside fiber optic routes
Copper telephone cable design including size and gauge, cross box design and terminals; rearrangements including cutovers, pair conditioning, cable assignments, loop make ups, bridge taps, splice documents
Review Planned Road Improvement Civil Design Drawings and identify/mitigate conflicts with existing aerial, buried and underground telecommunications facilities. Coordinate resolution associated with all utilities impacted by proposed road improvement designs and joint utility trenching.
Manage all projects to meet or exceed minimum specifications of Construction Policies, NESC, NEC, OSHA, State, County and all other applicable municipalities/agencies.
Maintain a high level of productivity, assuring time-frames are met for projects occurring simultaneously and track and generate reports on project status.
Prepare, manage and maintain project documentation, maps and CAD drawings. Create drawings and records of fiber and copper routes, splice locations, construction notes, bills of materials and project overviews.
Research and acquire permits, rights of way and easement agreements.
Respond to DOT requests for information and plan for facility relocation.
Review and record As-Built documentation
Attend customer meetings; perform site surveys and walk-outs as necessary to comply with customer requirements and time frames.
Work with multiple customers and prepare all deliverables within each customer's own specifications.
Job Requirements
Fiber Survey and Design experience with CenturyLink, Verizon, AT&T and/or other ILEC/CLEC telecom companies is required.
Experience in planning copper and fiber optic network additions and estimating OSP projects by detail.
Experience working CAT 5 cabling and wiring within buildings.
Ability to read and interpret documents such as technical specifications, professional documentation and blueprints.
Demonstrated skill in the use of AutoCAD, MicroStation, MS Office Suite, Pole Analysis software, GPS handheld systems, and other industry-related hardware and software, strongly desired.
Ability to write reports, correspondence and documentation.
Ability to communicate effectively with vendors, customers and other employees of the organization.
Some out of town travel and overnight travel may be required.
Must have a valid driver's license, safe driving record and carry proper insurance.
This position has the ability to work remotely
Education
A Bachelors' or Associate’s Degree in a relevant field of Engineering or five to ten years of related experience (Technical knowledge of the Telecommunications industry and construction practices).
BICSI RCDD Certification is desired."|ATCO Communications Services, LLC||Employer Provided Salary:$27-$32 Per Hour
5|Construction Superintendent|"Construction Superintendent

Main Street Renewal is a private company focused on buying, renovating, and leasing across the country. We are very passionate about what we do. We care for each other, our partners, and our customers, fostering a culture of transparency, trust, and empowerment. We are determined to work smarter, utilizing great tools and technology to create an excellent experience for our residents. We are also driven to work harder and do what it takes to create exceptional outcomes. Our goal is to provide our residents a great house, easy lease experience, and attentive service so they can create a home they love.

A day in the life of a Construction Superintendent

The Construction Superintendent is responsible for independently completing property inspections, and preparing repair bids (based on MS Renewal standards and approved pricing) to facilitate the acquisition process for MSR homes. The superintendent leads all aspects of the rehab process (including selection and oversight of approved vendors/contractors completing the rehab work, timeline management of the repair project and ensuring quality work). The incumbent will have detailed functional knowledge and understanding of home inspections; the ability to identify home repairs necessary to bring the home to MS Renewal standards; as well as experience leading residential construction rehab projects. Each MS Renewal property rehab must be completed to the standards set by Main Streets Branch Best Practices document and Statement of Work and certified by the Construction team that all such repairs are complete and the property meets MS Renewal quality standards for release to the leasing team to market the property. The position reports directly to the branch construction manager.
Conduct Pre-Purchase, Post Purchase, Move-out and Turnover Inspections accurately and completely within allotted time frames identifying repair or replace items necessary. Ensuring the property meets MS Renewal standards and identifying and recommending those items where an upgrade in materials maybe advantageous to the property investment as noted during the inspection process.
Develop a budget based on the inspection of identified items to bring the property to MS Renewal standards reflecting MS Renewal approved pricing.
Effectively and efficiently schedule and oversee all construction activities, including vendor relations.
Hold vendors and contractors accountable for quality, completeness and timely work by inspecting the property regularly.
Make recommendations if/when to terminate contractors work on a job and chose another approved vendor if necessary.
Review final vendor invoices to ensure accurate billing and that all work is completed, approve invoices and submit to Branch A/R for payment
Perform rekeying of properties as well as other specific repair and/or securing work directly in the pursuit of successful property condition management.
Daily monitoring and updating in the property management system generating reports to identify current status and next steps on all assigned property.
Develop scope and cost based on MS renewal standards and submit for approval any additional work not identified on initial bid after inspection.
What's in it for you?
Collaborative team environment and the tools needed to be successful in your job (company vehicle, cell phone, IPad with inspection app, laptop)
Exceptional onboarding experience (we want you to succeed in your new role)
Medical, Dental, and Vision (Pick the plan that works best for you and the family)
401K with employer match (We just keep on giving)
Employee referral program (Get paid for referring your friends)
Casual dress code environment (Enough Said)
What youll need to have
HS Diploma or GED
Service-minded approach to all aspects of the job.
4+ years of residential construction/inspection experience or related field preferred
Vocational/technical school and/or college considered a plus
Knowledge of building and property management codes
Good communication and reading skills
Excellent organizational, leadership and customer service/satisfaction philosophy
Intermediate Computer Skills including proficiency with Microsoft Outlook and Excel
Must have a current and valid driver's license
Excellent oral and written communication skills
Must be able to multi-task in a fast-paced work environment
Just a few other things you should know
Please note, this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.
This job operates in the field at our properties in the metro area established for this position and reports to the Branch office. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.
This role requires travel to our properties and may be physically demanding. The ability to physically perform the following duties for prolonged periods of time is required: Unassisted lifting up to 50 pounds, Bending, Walking, Kneeling, Stretching, Able to work on step ladders or extension ladders up to 30 feet, Able to work in confined spaces, indoors and outdoors in all climates, and unclean environments with fumes, dust and poor ventilation while adhering to company safety requirements and programs, Able to perform all duties in a safe manner at all times
Travel to our properties around the metro area will be required.
Days of work are Monday through Friday, however, occasional evening and weekend hours may be required as job duties demand.
At Main Street Renewal, we believe that our teammates are the foundation of our success. Come join our MSR family where we work smarter, work harder, and are passionate about what we do."|Main Street Renewal LLC|4.5 ★|$45K-$72K (Glassdoor Est.)
6|HR Director|"HUMAN RESOURCES DIRECTOR

Are you an experienced HR manager seeking a bold, new challenge? Would you like to take your HR expertise to the next level, managing end-to-end HR in a mid-sized organization and shaping the next phase of its evolution?

Redapt has a great career opportunity that may be the best destination for you.

For over two decades, Redapt has successfully grown with the ever-evolving trends of the tech industry and built a cherished people-centric culture along the way. We continue to be a highly entrepreneurial organization. After years of sustained growth, we are now entering a phase of dramatic growth and transformation. Besides significant additions to our team we also acquired two companies last year and are poised for more. We are looking for a passionate HR leader to shape the people agenda that will enable the hyper-growth goals of Redapt.

The Role

The HR Director will own, drive and execute the HR plan for Redapt. Acting as a collaborative business partner, you will work with the leadership team to understand priorities and translate them into an HR agenda that drives desired business outcomes. You will manage a small team to develop HR strategies, policies and programs and also ensure their successful execution. This is a role for professionals who can diagnose problems, identify appropriate solutions and roll-up their sleeve to dive into operational details in all domains of human resources

Required Skills and Qualifications:
Bachelors' degree with current SPHR certification or Masters' degree in Human Resources/MBA
At least 12 years' progressive experience in an HRBP or HR Manager role supporting a fast-paced, high-tech environment
Solid understanding and exposure in all areas of HR including Change Management, Employment Law, Employee Relations, Benefits, Compensation and Performance Management
Solid grasp of employment laws and regulations (ADA, EEO, FMLA) and the ability to appropriately spot employment risk issues
Strong business acumen and the ability to influence business leaders around complex HR decisions
Experience conducting complex investigations
Demonstrated ability to establish trust, fairness and credibility with employees, managers and other stakeholders
Demonstrated ability to achieve results in a frequently ambiguous and ever-changing hyper-growth environment
Ability to engage in healthy, constructive debate to provide the best service to the business and employees
Excellent collaboration, communication, negotiation, and interpersonal skills
Proficient in MS Office tools (Word, PowerPoint, Excel, etc.)
Preferred Skills and Qualifications:
Mergers and Acquisition experience highly preferred
Tech industry experience highly preferred"|Redapt|3.4 ★|$55K-$145K (Glassdoor Est.)
7|Project Engineer|"POSITION SUMMARY

Project Engineers assist the Project Manager with the planning and daily execution of the construction project. They are responsible for maintaining certain aspects of the project schedule as assigned by the Project Manager, by managing the process of submittal approvals, coordinating the timely delivery of materials, maintaining schedules and budgets.

Lewis’ Project Engineers are integral members of project teams. They work closely with project managers, superintendents, company craftspeople and subcontractors with primary responsibilities that include cost management and quality control.

PRIMARY FUNCTIONS AND ESSENTIAL RESPONSIBILITES

Project Engineering and Document Control
Working knowledge project estimating as it relates to assigned areas of responsibility.
Working knowledge of project schedule and assist in maintaining the project computerized schedule.
Work with Lead Project Engineer and Project Manager to prepare scope of work instructions, technical requirements and bid packages for subcontractor and vendor items.
Utilize the project management system to expedite, review and approve shop drawings, submittals and safety requirements for assigned tasks.
Distribute approved submittals to pertinent subcontractors.
Ensure that assigned materials and equipment are released for fabrication in adequate lead time to accommodate the required jobsite delivery date designated by the Superintendent on assigned tasks. Procure other materials and equipment as instructed by the Lead Project Engineer and Project Superintendent.
Obtain and check subcontractor’s pricing and assist in assembling change quotations as directed by the Lead Project Engineer or Project Manager.
Assist in maintaining the project files, close-out and storage of documents at completion.
Working knowledge of the contract documents to include reviewing all drawings and specifications for design inconsistencies and conflicts.
Know and understand the subcontract documents as they apply to assigned areas of responsibility.
Write field questions and expedite answers from Architect to allow the assigned components of the work to be fabricated and installed in the most efficient manner.
Assist in documenting changes, maintain project record drawings and specifications.
Customer Relations and Communication
Builds effective relationships with customers, design team, subcontractors, suppliers, and user groups that reflect and support company core values and meets and exceeds the customer’s expectations.
Clear communication and a collaborative approach is essential for a Project Engineer enabling them to share information between relevant teams and trades.
Exhibit superior writing skills, and review and correspond to and from subcontractors and vendors for assigned tasks.
Receive and distribute information on clarifications and changes in the work for areas of responsibility.
Prepare and distribute minutes to meetings as directed by the Lead Project Engineer or Project Manager.
IN ORDER TO SUCCEED IN THIS ROLE
Bachelor’s degree in Construction Management, Engineering or related field or equivalent years of experience required.
Minimum of two years or more of general contracting experience, preferably with proven performance on large commercial building projects.
Technology proficiency in programs such as Revit, Bluebeam, will be essential to success in the role.
Prior experience with MEP systems coordination and complex structure is preferred.
Creative problem solver and excellent communication skills.
A positive attitude and willingness to work with others. We believe that happy people make for a fun and productive culture.

Apply Now
Share"|Lease Crutcher Lewis|4.2 ★|$60K-$81K (Glassdoor Est.)
8|Senior Consultant, Construction Solutions|"About FTI Consulting

FTI Consulting, Inc. is a global business advisory firm dedicated to helping organizations manage change, mitigate risk and resolve disputes: financial, legal, operational, political & regulatory, reputational and transactional. With more than 4,600 employees located in 28 countries, FTI Consulting professionals work closely with clients to anticipate, illuminate and overcome complex business challenges and make the most of opportunities. The Company generated $1.81 billion in revenues during fiscal year 2017. For more information, visit www.fticonsulting.com and connect with us on Twitter (@FTIConsulting) , Facebook and LinkedIn .

FTI Consulting continually strives to offer employees and eligible dependents, including domestic partners and eligible domestic partner children, a competitive and comprehensive benefits package. Please click here for more information.

FTI Consulting does not accept unsolicited resumes from external firms or agencies. FTI Consulting will not be responsible for placement fees associated with unsolicited resumes.

FTI Consulting is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, ancestry, citizenship status, protected veteran status, religion, physical or mental disability, marital status, sex, sexual orientation, gender identity or expression, age, or any other basis protected by law, ordinance, or regulation.

About Forensic & Litigation Consulting

The Forensic and Litigation Consulting practice at FTI Consulting provides multidisciplinary, independent dispute advisory, investigative, data acquisition/analysis and forensic accounting services to the global business and legal community. Our team supports clients facing high stakes litigation, arbitration and compliance investigations, and regulatory scrutiny.


Primary Duties:

A Senior Consultant will be working as part of a team to assist clients through complex issues as related to the construction industry. Senior Consultants will work under the direction of team leaders to complete specific tasks required to meet the client's needs. Services provided will include both project advisory support as well as dispute resolution related to large, complex construction projects.

When providing project advisory services, a Senior Consultant may be responsible for assisting with project controls, scheduling and/or cost management of large capital projects, including financial and construction project related analysis. A Senior Consultant may also be involved in the day-to-day activities of an ongoing project, including interaction with client personnel, other team members, contractors, design team and other professionals from other firms involved in the engagement. When providing dispute resolution services, they are also responsible for review and analyze contract claims, calculation of delay, extended performance and impact costs, and will likely be working with an engagement team to assist a client through negotiations, mediation, arbitration, or other legal proceedings.

Tasks may include:
Organizing information to facilitate effective data access and analysis
Maintaining detailed working paper records of reflecting assumptions, methodologies, and sources of information employed during the performance of all tasks
Working to deliver a quality product within established timeframes
Preparing draft written analyses and other reports for third parties, as necessary, on the project scope and/or results of activities
Preparing presentations and quantitative exhibits for third parties to provide an update and/or present findings


Basic Senior Consultant Qualifications:
Bachelor's Degree in engineering, construction management, and/or related fields
Previous full time (3-5 years) experience in the construction industry or a related profession
Excellent communication (written and verbal), mathematical, and organizational skills
Proficient knowledge of PC environment and related software including Microsoft applications such as Word, PowerPoint, Excel, and Access


Preferred Skills:
Experience with scheduling software, including Primavera P3 and P6
A flexible travel schedule with the ability to travel both domestically and internationally
Ability to work in a team as well as independently
Ability to produce high quality work product under strict deadlines
Ability to work in a high-paced, multi-task environment with attention to detail
Willing to go the extra mile with a strong work ethic; self-directed and resourceful
Flexibility in handling assigned tasks and engagements due to deadline and task priority changes
High level of interpersonal skills
High level of quantitative and qualitative research and analytical skills
Hard working, eager to learn and motivated to succeed
Proficiency in Spanish a plus


Position Classification: Exempt

#LI-MS1

#CB#"|FTI Consulting|3.5 ★|$60K-$99K (Glassdoor Est.)
9|Marketing Manager|"POSITION SUMMARY

As a Marketing Manager in our Seattle Office, you will be responsible for supporting divisional business development and marketing efforts, including but not limited to, the pursuit of new work through the submission of qualifications, brochures and proposals. You will serve as a day-to-day liaison, working with internal and external clients to research, plan, coordinate, manage and develop the content necessary to tell the Lewis story with authenticity, creativity and integrity. You will also work to support internal and external promotional activities and the development of project-specific collateral. This position reports to the Marketing Director.

PRIMARY FUNCTIONS AND ESSENTIAL RESPONSIBILITIES

Pursuit Support
Lead efforts to respond to client generated requests for qualifications and proposals (RFQ/RFP)
Schedule meetings and participate in discussions with Project Teams to determine content strategy
Develop written content and coordinate graphic components of RFQs and RFPs; oversee the delivery of the final product
Support Director of Marketing, when necessary, for interview and presentation development efforts
Create print and electronic documents of the highest quality including initial written and graphic QA/QC of all qualifications, proposal and interview documents prior to director and executive level review
Content Strategy, Creation & Management
Work together with technical staff to research, write and develop authentic and compelling stories around the firm, key personnel and our projects
Manage dynamic content for internal and external communication vehicles including our website, newsletters, social media, etc.
Meet regularly with Project Executives and field teams to learn about project challenges and best practices, identify areas for marketing assistance and public relations opportunities
Marketing Systems
Maintains historical marketing data pertaining to staff, project history, new business leads and client references
Organize and maintain all electronic files for ease of use, transmittal and production
Other Duties
Provide additional marketing related duties and event support, as required and assigned
Other duties as assigned
IN ORDER TO SUCCEED IN THIS ROLE
Bachelor’s degree in journalism, communications, marketing, English or related field
7+ years of marketing experience
Professional services marketing experience (AEC marketing background preferred)
Excellent communication skills with strong writing and editing capabilities, as well as an eye for detail
Ability to hone large amounts of content into strategic marketing proposals and materials for clients
Natural Storyteller; ability to quickly identify and develop a story by looking at everyday occurrences
Advanced business-writing skills including mastery of grammar, composition and persuasive communication
The ability to stay organized and calm under pressure
Ability to work under firm deadlines
Self-starter, inquisitive learner and collaborative team player
Strong project management ability, including coordination with internal clients, task-supervision of Marketing staff and the ability to focus teams and meet every deadline
Relationship-focus; strong interpersonal skills and peer leadership approach
Proficiency in Adobe InDesign, PowerPoint, Word and Excel (Familiarity with Adobe CS)
Ability to visit active construction sites and attend events outside standard work hours
Lease Crutcher Lewis offers competitive and benefits.

Apply Now
Share"|Lease Crutcher Lewis|4.2 ★|$58K-$87K (Glassdoor Est.)
